,beer_info,search_name,beer_name
0,"Jabic(983)
🇺🇸Las Vegas, United States
2.2March 24, 2018
Ar: Faint sulfur and wet soggy white bread. Ap: Light copper and crystal clear; medium off-white head with moderate-low retention, settles into a thin film of bubbles with some…
Show more
Aroma
3
Appearance
3
Flavor
4
Mouthfeel
2
Overall
10",Keller Premium Lager,Berthold Keller Premium Lager
1,"bunget(1,251)
🇨🇦Ottawa, Canada
3.3March 12, 2018
Can. Clear dark golden body, huge white fluffy head with great retention and lots of lacing. Aroma of grains, herbs, caramel, lemon zest and some metallic notes. Taste of…
Show more
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
2
Overall
13",Keller Premium Lager,Berthold Keller Premium Lager
2,"nybol(3,895)
🇩🇰Denmark
3.7July 10, 2017
En meget tynd pilsner, der er moderat humlet. En typisk billig pilsner fra Tyskland
Aroma
7
Appearance
4
Flavor
6
Mouthfeel
4
Overall
16",Keller Premium Lager,Berthold Keller Premium Lager
3,"azzurro(1,744)
🇨🇦Ottawa, Canada
3.1April 12, 2017
Tried a belgian beer in a can after an abbey ale, oops, wrong choice. Sadly not in the same league.
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
13",Keller Premium Lager,Berthold Keller Premium Lager
4,"Tranquillity(3,551)
🇨🇦Toronto, Canada
1.2March 15, 2017
Canned. Typical lager body, wobbly uneven thin white head. Smells like glue. The taste is watery with some fruityness.
Aroma
2
Appearance
1
Flavor
3
Mouthfeel
2
Overall
4",Keller Premium Lager,Berthold Keller Premium Lager
5,"istephen(22)
🇨🇦St. Catharines, Canada
1.2November 13, 2016
Some of the time, I drink lager, but still want some sort of character. This one lacks much character at all. It has some graininess on the nose, but lacks much body OR hops. Must…
Show more
Aroma
2
Appearance
3
Flavor
2
Mouthfeel
2
Overall
3",Keller Premium Lager,Berthold Keller Premium Lager
6,"crossovert(16,772)
🇺🇸Chicago, United States
2.7June 2, 2016
500ml can. This is a soulless lager for sure, atouch griany with minimal hops, boring.
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
11",Keller Premium Lager,Berthold Keller Premium Lager
7,"Ferris(23,110)
🇨🇦Burnaby, Canada
3.0September 12, 2015
Can - Sweet grains and a touch of biscuit. Clear gold with a rich white head. Light grain notes and long light sweet grain.
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
11",Keller Premium Lager,Berthold Keller Premium Lager
8,"sudomorph(1,307)
🇨🇦Barrie, Canada
2.6April 13, 2015
500ml can. Pours a crystal clear golden yellow with a one finger, white head that thins quickly but coats the glass. Aroma has slightly sweet grains, traditional hops, and lager…
Show more
Aroma
6
Appearance
3
Flavor
5
Mouthfeel
2
Overall
10",Keller Premium Lager,Berthold Keller Premium Lager
9,"markas101(2,671)
🇺🇸Ann Arbor, United States
2.8August 27, 2014
50 cl can, Toronto airport four points. Medium gold, grainy aroma. Sweet, balanced with not much going on. Good design for the can.
Aroma
5
Appearance
2
Flavor
6
Mouthfeel
3
Overall
12",Keller Premium Lager,Berthold Keller Premium Lager
10,"fhoublon(461)
🇨🇦Lachine, Canada
1.7May 5, 2014
Canette de 500 ml achetée à la LCBO de Hawkesbury. Dégustée le 30 juin 2011 (lager glass). Bière blonde dorée limpide. Mousse beaucoup, col blanc épais persistant. Très…
Show more
Aroma
4
Appearance
3
Flavor
3
Mouthfeel
2
Overall
5",Keller Premium Lager,Berthold Keller Premium Lager
11,"yrstruly(359)
🇨🇦Guelph, Canada
2.8January 1, 2014
Pours light gold with a bumpy white head. Aroma of pils malt, slight sulfur, clean grain otherwise. Taste is crisp and lightly sweet up front with a hint of grain flavor and slight tartness.…
Show more
Aroma
7
Appearance
3
Flavor
5
Mouthfeel
2
Overall
11",Keller Premium Lager,Berthold Keller Premium Lager
12,"rikstar(2,604)
🇳🇱Netherlands
0.8December 1, 2013
Een van de slechtste biertjes die ik ooit gedronken heb, 0,5l blik op de hoek bij een klein supermarkje in York. In de geur en smaak weinig anders dan metaal en een klein beetje…
Show more
Aroma
2
Appearance
1
Flavor
1
Mouthfeel
1
Overall
3",Keller Premium Lager,Berthold Keller Premium Lager
13,"Freaky_tiki(1,770)
🇨🇦Toronto, Canada
2.6November 7, 2013
We need more euro lagers in our Toronto liquor stores like our mayor needs another hit on the crack pipe. Pours corn gold with a decent white cap. Taste is water lager, light hops & a…
Show more
Aroma
5
Appearance
3
Flavor
4
Mouthfeel
2
Overall
12",Keller Premium Lager,Berthold Keller Premium Lager
14,"Canmoore(517)
🇨🇦Ottawa, Canada
1.9October 18, 2013
Pours a golden straw colour, with a thin wispy white head. Aroma includes notes of Grains, bread, musk, and notes of graham crackers. Tasting notes include Floral, and Cereals.…
Show more
Aroma
4
Appearance
2
Flavor
3
Mouthfeel
2
Overall
8",Keller Premium Lager,Berthold Keller Premium Lager
15,"northropfrye(4,264)
🇨🇦Steinbach, Canada
2.4August 31, 2013
Golden body with fluffy white head. Some lacing. Faint sweet grain aroma. Similar flavour. Mediocre.…
Show more
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
3
Overall
9",Keller Premium Lager,Berthold Keller Premium Lager
16,"tampierre(1,486)
🇨🇿Pilsen, Czech Republic
1.7April 21, 2013
Canned ; Devon ; UK ; Malt,cereal and metallic aroma ; Clear golden color with smaller head ; Sweeter taste and light bitter finish ; Medium body ; Not extremely bad.
Aroma
3
Appearance
2
Flavor
4
Mouthfeel
1
Overall
7",Keller Premium Lager,Berthold Keller Premium Lager
17,"DylansDad(844)
🇳🇿North Shore, Auckland, New Zealand
2.2March 22, 2013
I know how to make a ""premium"" euro-lager now. You take a normal skanky corn-oil euro lager and water it down a bit. Less offensive = ""premium"". There you have it. On a kinder…
Show more
Aroma
3
Appearance
3
Flavor
4
Mouthfeel
2
Overall
10",Keller Premium Lager,Berthold Keller Premium Lager
18,"hstreet(71)
🇨🇦Toronto, Canada
2.8January 26, 2013
Nice dark amber color, frothy spotty head. Smells just like a premium lager should. Tastes are weak with a very bitter punch at the finish. Just ok IMO
Aroma
10
Appearance
4
Flavor
2
Mouthfeel
3
Overall
9",Keller Premium Lager,Berthold Keller Premium Lager
19,"beerledgend(1,193)
🇳🇿Waterloo, Wellington, New Zealand
1.3October 29, 2012
Golden colour with big white head that disapates quickly. Sweet bubblegum aroma. Very bland. Can from Countdown, $3 special :(
Aroma
4
Appearance
2
Flavor
1
Mouthfeel
1
Overall
5",Keller Premium Lager,Berthold Keller Premium Lager
20,"DanielBrown(4,668)
🇬🇧Birmingham (via Leicester), England
1.1September 5, 2012
Can from Euro Shop, Wolverhampton. Pours fine, looks fine, doesn’t smell too bad. Taste however is the most absent I have ever encountered. CANNOT believe this is 5% - it taste…
Show more
Aroma
4
Appearance
2
Flavor
1
Mouthfeel
1
Overall
3",Keller Premium Lager,Berthold Keller Premium Lager
21,"solidfunk(14,504)
🇺🇸Washington D.C., United States
1.6August 5, 2012
Smells a little hoppy, a little skunky. Shitty palate, shitty aftertaste. Shitty blond lager. Avoid at all costs.
Aroma
4
Appearance
2
Flavor
3
Mouthfeel
2
Overall
5",Keller Premium Lager,Berthold Keller Premium Lager
22,"radiomgb(2,686)
🇨🇦Peterborough, Canada
1.2July 7, 2012
Golden-yellow in colour with a thin white head, very little lacing.  Aroma is grainy, some corn and metal, cereal, smoky donuts.  Flavour is thin and metallic, lots of corn and cereal,…
Show more
Aroma
3
Appearance
2
Flavor
2
Mouthfeel
2
Overall
3",Keller Premium Lager,Berthold Keller Premium Lager
23,"piscator34(3,249)
🇨🇦Winnipeg, Canada
2.2June 17, 2012
Canned sample. Gold in colour with strong carbonation. Aromas are of mild grassy (Saaz-like?) hops, chalk, and pilsner malt. Faint flavours are of bone dry pilsner malt and…
Show more
Aroma
5
Appearance
3
Flavor
3
Mouthfeel
1
Overall
10",Keller Premium Lager,Berthold Keller Premium Lager
24,"MarkoR(959)
🇨🇦Toronto, Canada
2.3May 8, 2012
500ml can from LCBO. Nothing special here. Crystal clear golden colour with medium white head. Mild. Pretty tasteless in fact. Skip this one.
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
7",Keller Premium Lager,Berthold Keller Premium Lager
25,"DruncanVeasey(10,293)
🇬🇧Nr NUNEATON, England
1.8April 18, 2012
Silver can from that place in Whitestone that used to be a garage, then a chippy, then a Netto. Bright gold beer with a skim of froth. Bit of a wet dog aroma; caramel hints, boiled…
Show more
Aroma
4
Appearance
2
Flavor
3
Mouthfeel
2
Overall
7",Keller Premium Lager,Berthold Keller Premium Lager
