,beer_info,search_name,beer_name
0,"martjoobolut(9,713)
🇪🇪Tallinn, Estonia
2.8March 15, 2021
Tap @ Aleksandri Pubi, Pärnu. Huvitaval kombel pole selle kohta reitingut, kuigi joonud olen seda varem rohkem kui ühel korral. Igal juhul täitsa joodav viljane makro laager.
TAP
Aroma
6
Appearance
3
Flavor
5
Mouthfeel
2
Overall
12",Estrella Dam,Estrella Damm (5.4%)
1,"riggsfc61(1,297)
🇺🇸Franklin, United States
2.5March 2, 2021
Found out of bottle from a  Biedronka in Rybnik, Poland.  Pours the typical straw yellow with light white foam. I've certainly had worse from the style. It's the definition of…
Show more
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Estrella Dam,Estrella Damm (5.4%)
2,"daddydoots(22)
2.9February 1, 2021
Now if I'm in Spain drinking from tap, this would have scored better. But in in Northern England drinking from a bottle in my living room. Kill me now, wait grab me another first
BOTTLE
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Estrella Dam,Estrella Damm (5.4%)
3,"kolemkoukolem(2,258)
🇨🇿Pilsen, Czech Republic
1.2March 1, 2021
# 2406; 1/2021. Rice, fruits and sligtly tobacco in aroma. Gold body, white head. Corn, marzipan, herbal, harsh bitterness. Bad lager. 0,33 l, can, gift.
CAN
Aroma
2
Appearance
3
Flavor
2
Mouthfeel
1
Overall
4",Estrella Dam,Estrella Damm (5.4%)
4,"czgr(819)
🇵🇱Opole, Poland
1.5January 27, 2021
Pite jakiś czas temu. Ocena w celu uzupełnienia profilu. 
https://www.instagram.com/czgr_
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Estrella Dam,Estrella Damm (5.4%)
5,"Ed1874(2)
🇬🇧England
0.5January 25, 2021
Very Forgetful experience TBH. Might be nicer out of a bottle but woeful out a can.
CAN
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Estrella Dam,Estrella Damm (5.4%)
6,"simecek.tomas(114)
2.3November 14, 2020
Poor. Not much of a body, sweet in taste. But one of the better southerns...
TAP
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Estrella Dam,Estrella Damm (5.4%)
7,"razmite(5)
3.0October 31, 2020
Mas que tapas, sodertalje
Light lager. Good taste but a tad on the plain side.
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Estrella Dam,Estrella Damm (5.4%)
8,"nais(3)
2.4October 1, 2020
Lata. Vierte ambar con espuma ligera y blanca de dos dedos, bastante persistente. Sabor agradable a lager con un toque sutil toque amargo. Bastante refrescante.
Aroma
3
Appearance
3
Flavor
6
Mouthfeel
3
Overall
9",Estrella Dam,Estrella Damm (5.4%)
9,"17Beer(1,323)
🇺🇸United States
3.4September 26, 2020
12 oz bottle. Pours a bright gold with a tight persistent white head. Biscuits and malt smells. Watery body but nice toasted malt notes. Fizzy mouthfeel and an astringent hoppy finish.…
Show more
BOTTLE
@ Total Wine and More - Norwalk
Aroma
6
Appearance
4
Flavor
7
Mouthfeel
3
Overall
14",Estrella Dam,Estrella Damm (5.4%)
