,beer_info,search_name,beer_name
0,"JorisPPattyn(12,072)
🇧🇪Wilrijk, Belgium
4.4July 22, 2018
No head, pouring viscously to deep dark purplish brown beer. Dark, partly roasted nuts, cognac, winebarrels, biscuit, immensely complex. Sweet raisins on brandy, boerejongens…
Show more
Aroma
9
Appearance
4
Flavor
9
Mouthfeel
4
Overall
18
1",Midnight Sun M,Midnight Sun M
1,"ebone1988(2,504)
🇺🇸Dearborn, United States
4.8June 24, 2018
Bottle shared at the #walezbro tasting. Aroma is bourbon, raisins, caramel, fudge, smooth, amazing. Appearance is dark brown, brown head, nice carb.  Taste is raisins, bourbo…
Show more
Aroma
10
Appearance
5
Flavor
10
Mouthfeel
4
Overall
19",Midnight Sun M,Midnight Sun M
2,"fonefan(65,999)
🇩🇰VestJylland, Denmark
4.5March 27, 2017
Bottle 22fl.oz. shared at [ A Day To Sink All Sea Shepards tasting. ], Brussels, Belgium.…
Show more
Aroma
9
Appearance
3
Flavor
9
Mouthfeel
5
Overall
19",Midnight Sun M,Midnight Sun M
3,"ctipping(3,455)
🇺🇸United States
4.1February 12, 2017
650 mL bottle. Originally reviewed 5/18/2014.
Dark body. Nearly black. Small khaki head.…
Show more
Aroma
8
Appearance
4
Flavor
9
Mouthfeel
4
Overall
16",Midnight Sun M,Midnight Sun M
4,"rouhlas(5,504)
🇬🇷Thessaloniki, Greece
4.7September 21, 2016
650 ml bottle shared at the original Chez Moeder Lambic’s cellar. Hazy copper brown color with beige brown head. Malty aroma, caramel, chocolate, nutty, hazelnuts, vanilla,…
Show more
Aroma
9
Appearance
4
Flavor
10
Mouthfeel
5
Overall
19",Midnight Sun M,Midnight Sun M
5,"77ships(14,200)
🇧🇪Antwerpen, Belgium
4.9September 17, 2016
Extreme & manifold thanks to kermis!!! 650 ml. bottle sampled. 2005 Vintage presumably. Nose carries clear oxidation over a sweet base of caramel syrup, toffee, thick…
Show more
Aroma
10
Appearance
5
Flavor
10
Mouthfeel
5
Overall
19",Midnight Sun M,Midnight Sun M
6,"kraddel(10,779)
🇧🇪Antwerp, Belgium
4.8September 17, 2016
@ A day to sink all seasheppards. Thnx for sharing, everyone !! Pours unclear, dark brown. No real head. Smell is intense, sweet, caramelized malts. taste is intense, dark malts,…
Show more
Aroma
9
Appearance
4
Flavor
10
Mouthfeel
5
Overall
20",Midnight Sun M,Midnight Sun M
7,"kermis(18,397)
🇳🇱Amsterdam-ish, Netherlands
4.8September 17, 2016
Bottle shared at A Day To Sink All Sea Shepards tasting.  Fairly clear dark reddish brown with a ring tan head. Aroma of big caramel, toffee, floral notes coming out, rich malt,…
Show more
Aroma
10
Appearance
3
Flavor
10
Mouthfeel
5
Overall
20",Midnight Sun M,Midnight Sun M
8,"vtafro(7,453)
🇺🇸Wayne, United States
4.5June 5, 2015
Bottle. Brown pour with tan head. Sweet dark fruit, spice, chocolate, candy and caramel aromas. Tootsie roll perhaps, chocolate, roasted, candy, caramel, vanilla and a bunch of…
Show more
Aroma
7
Appearance
5
Flavor
10
Mouthfeel
5
Overall
18",Midnight Sun M,Midnight Sun M
9,"jtclockwork(20,881)
🇺🇸United States
4.5June 6, 2015
Bottle. Pours dark brown tan head. Nose and taste of bourbon, molasses, caramel, oak, tobacco and port - medium body. Smooth.
Aroma
9
Appearance
4
Flavor
10
Mouthfeel
4
Overall
18",Midnight Sun M,Midnight Sun M
10,"fletchfighters(1,833)
🇦🇺WEST RYDE, Australia
4.1October 18, 2014
Thanks to Hallinghansen for the bottle. Much, much appreciated.…
Show more
Aroma
8
Appearance
2
Flavor
8
Mouthfeel
5
Overall
18",Midnight Sun M,Midnight Sun M
11,"Beerman6686(6,607)
🇺🇸Pittsburgh, United States
4.4July 23, 2014
4200th rating! Thanks to cheapbeerbuzz for trading this one
 I feel that drinking this on the same night as completing…
Show more
Aroma
8
Appearance
5
Flavor
9
Mouthfeel
5
Overall
17",Midnight Sun M,Midnight Sun M
12,"Art(3,222)
🇺🇸Pittsburgh, United States
4.2July 21, 2014
Bottle split with beerman6686 in a trade. Thanks for setting this trade up, Dan. Glad I could have my close beer friends in attendance to share this beer. I feel like there should be a…
Show more
Aroma
6
Appearance
5
Flavor
8
Mouthfeel
4
Overall
19",Midnight Sun M,Midnight Sun M
13,"charule(2,306)
🇺🇸Chicago, United States
4.1July 19, 2014
Bottle super thanks to Beerman. Poured blackish with no head. No carb med bod. Aroma of alcohol soaked raisins. Prune booze taste with some barrel. Excellent
Aroma
8
Appearance
4
Flavor
8
Mouthfeel
4
Overall
17",Midnight Sun M,Midnight Sun M
14,"biggsbowler(633)
🇺🇸Port St. Lucie, United States
4.7May 18, 2014
Bottle - pours dark, thick black w/ some viscosity. Wine, grapes, caramel, oak and dark fruit aroma. The flavor is very rich and smooth. Dark fruit, winey, malty and damn good!!!
Aroma
9
Appearance
5
Flavor
9
Mouthfeel
5
Overall
19",Midnight Sun M,Midnight Sun M
15,"BoBoChamp(5,752)
🇧🇪Gent, Belgium
4.3March 8, 2014
65cl, retired exclusive American brew, thx alot to Antonio for shipping this over!, very complex brew, malty/sweet and slightly fruity/alcoholic, yet not too heavy, very balanced,…
Show more
Aroma
8
Appearance
4
Flavor
8
Mouthfeel
5
Overall
18",Midnight Sun M,Midnight Sun M
16,"gEUS(1,637)
🇧🇪Linden, Belgium
5.0February 25, 2014
One of the most special bottles I have had the honour to taste. Thanks to Jeffo! I am quite critical when it comes to hypes, but this one lives up to it, and beyond... With some…
Show more
Aroma
10
Appearance
5
Flavor
10
Mouthfeel
5
Overall
20",Midnight Sun M,Midnight Sun M
17,"brystmar(1,314)
🇺🇸Seattle, United States
4.6February 7, 2014
Been after this one for years! Thanks to Mac for helping me land this beast.  Pours nearly pitch black with handsome tan head & lace. Liquified Belgian candi sugar dominates the…
Show more
Aroma
8
Appearance
4
Flavor
10
Mouthfeel
5
Overall
19",Midnight Sun M,Midnight Sun M
