,beer_info,search_name,beer_name
0,"kerenmk(6,813)
🇮🇱Tel Aviv, Israel
2.3March 6, 2021
Bottle. Hazy blond with a frothy white head. Aroma of sweet banana nectar and passion fruit body lotion. Sweet banana candy taste with a hint of lemon, light body and sweet…
Show more
BOTTLE
Aroma
5
Appearance
3
Flavor
4
Mouthfeel
2
Overall
9",Kronenbourg 1664 Blanc,Kronenbourg 1664 Blanc
1,"LarsLovesBrew(70)
🇩🇰Denmark
2.8March 2, 2021
Cloudy wheat beer, with notes of citrus and very faint mango. Not much hop in the taste. Very inoffensive and easy to drink. No bitterness at all. This is a warm summers day…
Show more
CAN
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
13",Kronenbourg 1664 Blanc,Kronenbourg 1664 Blanc
2,"Jerseyislandbeer(1,860)
🇯🇪Jersey
3.8February 28, 2021
Old rating from 2013 - 500ml bottle, pours a hazy straw colour with a good size foamy white head. Aromas & tastes of banana, orange peel, lemon, citrus, coriander, grain, hints…
Show more
BOTTLE
Aroma
8
Appearance
4
Flavor
7
Mouthfeel
4
Overall
15",Kronenbourg 1664 Blanc,Kronenbourg 1664 Blanc
3,"theisti(4,807)
🇺🇸United States
3.2February 18, 2021
Shaker pint draft at the French Market restaurant in Prairie Village, Kansas. The pour is a hazed orange golden with a foamy white head that falls with a sheet of lace. The aroma…
Show more
TAP
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
4
Overall
12",Kronenbourg 1664 Blanc,Kronenbourg 1664 Blanc
4,"Nordcore(2,745)
🇳🇴Lyngen alps, Norway
3.4February 6, 2021
Gilden ,hazy with a medium white head. A fruity aroma with some citrus and spices sense. Medium bitter with a fruit ending.
BOTTLE
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
14",Kronenbourg 1664 Blanc,Kronenbourg 1664 Blanc
5,"Dzony95(41)
🇷🇸Belgrade, Serbia
3.0January 31, 2021
0.5 Can from local store, brewed by Carlsberg Serbia.

Pours juicy dark lemonade color, with medium short lasting…
Show more
CAN
Aroma
7
Appearance
3
Flavor
6
Mouthfeel
1
Overall
13",Kronenbourg 1664 Blanc,Kronenbourg 1664 Blanc
6,"bjorn77(1,674)
🇵🇱Kraków, Poland
3.1December 31, 2020
Zapach przyjemny. mdłe pszeniczne nuty są przysłonięte, słodką, soczystą pomarańczą. Złote, półprzejrzyste, ładna pianka. Łagodne, lekko słodkawe, lekko owocowe…
Show more
Aroma
7
Appearance
4
Flavor
6
Mouthfeel
3
Overall
11",Kronenbourg 1664 Blanc,Kronenbourg 1664 Blanc
7,"Beerdedone(3,974)
🇺🇸Croydon, United States
2.7November 21, 2020
Can. Pours a hazy pale yellow with a thin white head. Aroma of wheat, citrus and grass. Flavor of lemon, wheat, grain, fruit and light spices.
CAN
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
3
Overall
12",Kronenbourg 1664 Blanc,Kronenbourg 1664 Blanc
8,"Turboninja(2,075)
🇫🇮Tampere, Finland
2.3November 14, 2020
Medium, averagely balanced nuances of fresh wheat and citrus, some minerals. Somewhat artificial. Light hops with unclear profile. Narrow taste spectrum and short aftertaste…
Show more
TAP
Aroma
5
Appearance
3
Flavor
4
Mouthfeel
2
Overall
9",Kronenbourg 1664 Blanc,Kronenbourg 1664 Blanc
9,"kalervo(1,193)
🇫🇮Finland
2.9November 11, 2020
Nordic Pizza Companyssa 11/2020. Easy, pleasant wheat, lacks character in some way.
Aroma
5
Appearance
4
Flavor
6
Mouthfeel
3
Overall
11",Kronenbourg 1664 Blanc,Kronenbourg 1664 Blanc
10,"Kronhjort1996(405)
🇩🇰Århus C, Denmark
2.4September 7, 2020
En ret kedelig øl, hvis jeg skal være ærlig. Den smager en anelse af citrus, som alligevel ikke kendetegner Witbier. Flasken er ikonisk blå og ret pæn, og den hælder let og gul…
Show more
Aroma
4
Appearance
4
Flavor
5
Mouthfeel
3
Overall
8",Kronenbourg 1664 Blanc,Kronenbourg 1664 Blanc
11,"chrisv10(23,162)
🇩🇰Denmark
2.8August 31, 2020
Tap. Hazy yellow with medium white head. Aroma is malt, wheat, yeast, spices and fruit. Flavour is malt, wheat, yeast, spices, medium sweet, hop, fruit and a little bitter.
TAP
Aroma
6
Appearance
3
Flavor
5
Mouthfeel
3
Overall
11",Kronenbourg 1664 Blanc,Kronenbourg 1664 Blanc
12,"BBHansen(2,200)
🇩🇰Køge, Denmark
3.2August 31, 2020
Tap @ Lamaens 50 year reception. Appearance: pours hazy golden with good creamy white head and lacing. aroma/taste: barley, bread, wheat, oranges, light spices,…
Show more
TAP
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
13",Kronenbourg 1664 Blanc,Kronenbourg 1664 Blanc
13,"edgallow(5,016)
🇺🇸nashville, United States
2.8August 16, 2020
Draft pours hazy golden with a white head.  Aroma of wheat, spice and some grass.  Taste is pretty basic just some grains and a hint of spice.
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
10",Kronenbourg 1664 Blanc,Kronenbourg 1664 Blanc
