,beer_info,search_name,beer_name
0,"Marduk(14,159)
🇪🇪Reval, Estonia
3.2August 12, 2019
Tap (CRAFT Beer Market, Toronto). Hazy amber color. Medium size, off-white head, stays. Citrus, grainy, herbal spicy hops in aroma/taste. Drinkable brew.
Aroma
6
Appearance
3
Flavor
7
Mouthfeel
3
Overall
13",Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery Canuck Pale Ale
1,"can8ianben(1,886)
🇺🇸State College, United States
3.8July 29, 2019
A bright, citrusy aroma, with a fairly thin and carbonated body. This is better than I expected, but needs something - maybe some better mouthfeel? It’s nice on a hot day. Not…
Show more
Aroma
9
Appearance
4
Flavor
7
Mouthfeel
4
Overall
14",Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery Canuck Pale Ale
2,"TBone(23,387)
🇫🇮Pori, Finland
2.9March 15, 2019
Tap at Bar Hop, Toronto. Pale amber colour, small white head and lace. Pale malty, even a bit grainy aroma. Light-bodied. Pale malty, quite watery, spicey hops in the finish. Standard.
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
2
Overall
12",Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery Canuck Pale Ale
3,"beertings(7)
🇨🇦toronto, Canada
0.5November 8, 2018
Nasty, overly-hopped, unbalanced bullshit pine-cone beer. Want a mouth full of pine cones? Then drink this hipster shit that masks it's shitty flavour with too much hops.
Aroma
1
Appearance
1
Flavor
1
Mouthfeel
1
Overall
1",Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery Canuck Pale Ale
4,"Iznogud(9,153)
🇭🇷Zagreb, Croatia
3.2October 14, 2018
Canned, 473 ml, courtesy of and shared with Tomica. Cloudy golden, medium white head. Citrus, light hoppiness, malty, light bitterness. Light bodied.
Aroma
6
Appearance
3
Flavor
7
Mouthfeel
3
Overall
13",Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery Canuck Pale Ale
5,"anders37(30,967)
🇸🇪Malmö, Sweden
3.5September 28, 2018
Draft @ Dukes Refresher Bar, Toronto. Pours a hazy yellow color with a small white head. Has a fruity malty grassy citrus hoppy aroma. Fruity malty grassy citrus hoppy flavor with…
Show more
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
15",Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery Canuck Pale Ale
6,"katrinaez(3,775)
🇺🇸norristown, United States
3.3September 11, 2018
A fairly standard pale ale, some hop taste but not too much, ok, nothing special.
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
4
Overall
11",Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery Canuck Pale Ale
7,"AleRider78(2,499)
🇨🇦Winchester, Canada
3.7July 29, 2018
2014 rating. Pours a large frothy off white head and has a golden light amber appearance. Pretty thick dirty lacing. Bready malts and earthy hop aromas. Flavours are quite…
Show more
Aroma
7
Appearance
4
Flavor
8
Mouthfeel
4
Overall
14",Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery Canuck Pale Ale
8,"Carlisle(1,362)
🇺🇸United States
3.1June 9, 2018
Can (16 oz). Pours slightly hazy, pale gold with off-white head. Pine and grapefruit aroma. Flavor is a little light and does not live up to the aroma. Grapefruit and other tropical…
Show more
Aroma
8
Appearance
3
Flavor
6
Mouthfeel
2
Overall
12",Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery Canuck Pale Ale
9,"harrisoni(23,748)
🇬🇧Ashford, England
3.5May 17, 2018
On tap at Bar Hop King Street TO. Hazy gold colour lasting white head. Decent apa. Good enough grapefruit and pine. Some bitterness. It's pretty good. Very session able. Without…
Show more
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
15",Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery Canuck Pale Ale
10,"b2g(32)
3.5April 4, 2018
Light beige orange unfiltered American style pale ale, light hop, not over powering citrus.  Nice pale ale, but a bit to much citrus for my liking.
Aroma
8
Appearance
3
Flavor
7
Mouthfeel
3
Overall
14",Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery Canuck Pale Ale
11,"xist_(145)
🇨🇦Toronto, Canada
4.0March 10, 2018
Pours a nice golden yellow with a very large frothy head. Last a long time. Body is very carbonated and kind of hazy. Aromas of orange, zest, citrus, and dry hops. Really smooth…
Show more
Aroma
7
Appearance
3
Flavor
8
Mouthfeel
5
Overall
17",Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery Canuck Pale Ale
12,"motski(163)
🇨🇦Canada
2.9March 21, 2018
I agree with previous comment... Seems to be much higher than 35 IBU's (as can shows), more than 40-44 (my guess). Too hoppy for an APA for my liking. ok beer. Good bang for…
Show more
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
10",Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery Canuck Pale Ale
13,"Gluepot(941)
🇨🇦Ottawa, Canada
3.7December 6, 2017
Is it cheating to make a solid, refreshing IPA, and then call it a pale ale to make it even more impressive? Refreshing and fresh hop profile plays bigger than the listed 35 ibu. Bready…
Show more
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
4
Overall
15",Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery Canuck Pale Ale
14,"chris__hartley(521)
🇨🇦Canada
2.5November 9, 2017
It pours orangey amber; the head is off white and foamy. The aroma has notes of: faint pineapple, and slight pine. The taste is medium bitter. The palate is light bodied with medium…
Show more
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
2
Overall
8",Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery Canuck Pale Ale
15,"azzurro(1,744)
🇨🇦Ottawa, Canada
4.0September 5, 2017
Tries this one after baseball tonight. I was really impressed with the taste and the balance. A nice 'IPA'. Saw an article about this one on the LCBO website.
Aroma
8
Appearance
4
Flavor
8
Mouthfeel
4
Overall
16",Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery Canuck Pale Ale
16,"Cartoonkhaki(1,380)
🇨🇦Brantford, Canada
3.2July 23, 2017
Cloudy orange colour with light head. Aroma is very faint what is there is light floral. Clean hop flavour and light bitter. Decent body.
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
3
Overall
15",Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery Canuck Pale Ale
17,"ConJoJohn(21)
🇨🇦Halifax, Canada
4.1June 8, 2017
This beer has an aroma bursting with tropical citrus flavours. By far the best part of the drink, and it’s just too bad the smell isn’t as strong upon letting it sit. Pours a nice cloudy yellow,…
Show more
Aroma
9
Appearance
4
Flavor
7
Mouthfeel
4
Overall
17",Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery Canuck Pale Ale
18,"mathieuc(3,997)
🇨🇦Québec, Canada
3.6April 17, 2017
March 2017 can picked up at LCBO in Ottawa so relatively fresh. Pours a clear golden with a medium white head leaves pretty nice lacing. Nose is of hops for sure but not in the…
Show more
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
3
Overall
15",Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery Canuck Pale Ale
19,"ChadPoole(478)
🇨🇦Canada
3.8April 9, 2017
Pours hazy gold with a white head. Aroma is grapefruit and pine. Flavours the same as aroma with a good balance of sweet and bitter hops. Nice clean enjoyable beer.
Aroma
8
Appearance
3
Flavor
8
Mouthfeel
3
Overall
16",Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery Canuck Pale Ale
20,"JamesChamp(37)
🇨🇦Canada, Canada
3.5March 6, 2017
GLBs Canuck pale ale available year round at many LCBOs in tall cans 473ml for about $2.80. also available at the brewery on Toronto’s west borough Etobicoke. Good pale ale, nice…
Show more
Aroma
7
Appearance
4
Flavor
6
Mouthfeel
3
Overall
15",Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery Canuck Pale Ale
21,"GlennHendry(911)
🇨🇦OSHAWA, Canada
3.9March 6, 2017
Grapefruit and a little pine meld with some bready malts. Fruity and hoppy and damn tasty. I’m surprised I have never rated this before.
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
4
Overall
17",Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery Canuck Pale Ale
22,"BrewWhatIWant(447)
🇨🇦Canada
2.9March 12, 2017
Pours hazy light amber with a fluffy white head. Aroma is grapefruit and light malt. Taste is slightly bitter with notes of grapefruit rind, pine and grains. In the finish there’s some…
Show more
Aroma
5
Appearance
4
Flavor
6
Mouthfeel
4
Overall
10",Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery Canuck Pale Ale
23,"Crockett(1,164)
🇨🇦Southampton, Canada
3.4February 21, 2017
Pours honey gold, mild haze. Big bubbly white head. A bit of sudsy lace. Nose of cedar, pine needles, grapefruit. Flavour carries a lot of the same, with notes of burnt grass hops,…
Show more
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
14",Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery Canuck Pale Ale
24,"Tessic(1,851)
🇨🇦Brantford, Canada
2.2February 18, 2017
This pale poured a cloudy, orange with a big, bold, white head. Minimal lacing. Scents include grassy hops, malts and flowers. First swig was watery but quite flavourful. Flavours…
Show more
Aroma
5
Appearance
2
Flavor
4
Mouthfeel
3
Overall
8",Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery Canuck Pale Ale
25,"BeerforMen(5)
🇨🇦Oakville, Canada
4.2February 12, 2017
Go to Pale Ale. Well balanced, hop intense ale with the right amount of carbonation.
Aroma
8
Appearance
4
Flavor
8
Mouthfeel
4
Overall
18",Great Lakes Brewery Canuck Pale Ale,Great Lakes Brewery Canuck Pale Ale
