,beer_info,search_name,beer_name
0,"hrabren(4,611)
🇭🇷Zagreb, Croatia
4.0December 28, 2020
0.25 l bottle at Omnipollo Hatt, Stockholm. Shared with little Dina and Lorelei. Dark brown, reddish tint. Sophisticated fruity aroma, dark cherry, dark caramel, dark chocolate,…
Show more
BOTTLE
@ Omnipollos Hatt
Aroma
8
Appearance
4
Flavor
8
Mouthfeel
5
Overall
15",Närke Kaggen Stormaktsporter,Närke Kaggen Stormaktsporter
1,"czar(12,645)
🇨🇦Québec, Canada
4.3August 22, 2020
bottle shared by LAR, many many thanks for this one. 2016 vintage. chocolate-plenty, smooth bourbon woodsiness, lots of dried prunes, super dark wildflower honey, no alcohol…
Show more
Aroma
9
Appearance
4
Flavor
9
Mouthfeel
4
Overall
17",Närke Kaggen Stormaktsporter,Närke Kaggen Stormaktsporter
2,"RobertDale(9,529)
🇺🇸Lansing, United States
4.3August 4, 2020
2018 Bottle.  Pours black with a small tan head.  Aroma of chocolate, malt, coffee, and alcohol.  Taste is chocolate, roasted malt, coffee, honey, molasses, and some barrel.…
Show more
BOTTLE
Aroma
8
Appearance
4
Flavor
9
Mouthfeel
4
Overall
18",Närke Kaggen Stormaktsporter,Närke Kaggen Stormaktsporter
3,"dojken(1,351)
🇸🇪Sweden
4.6May 24, 2020
Flarra i uterummet. Härligt doft med hav o tång o friskhet. Smaken så balanserad med sötsyrliga smaker. Lätt kolsyrad så att smakerna förstärks. Riktig go o lång eftersmak som…
Show more
Aroma
9
Appearance
5
Flavor
8
Mouthfeel
5
Overall
19",Närke Kaggen Stormaktsporter,Närke Kaggen Stormaktsporter
4,"melush(9,878)
🇪🇸Spain
4.4January 11, 2020
2016 Version.
25cl Bottle @ Saveur-Biere, Fretin, France.
Black colour with a thin tan head.…
Show more
BOTTLE
Aroma
9
Appearance
4
Flavor
9
Mouthfeel
4
Overall
18",Närke Kaggen Stormaktsporter,Närke Kaggen Stormaktsporter
5,"Pilsnertest(312)
🇸🇪Sweden
4.5December 31, 2019
Aroms of honeycomb and liquorice. Sweet, smooth taste of liquorice, coffee, honey, some bourbon and beeswax. Aftertaste is liquorice and beeswax. Very old school…
Show more
Aroma
8
Appearance
5
Flavor
9
Mouthfeel
5
Overall
18",Närke Kaggen Stormaktsporter,Närke Kaggen Stormaktsporter
6,"Clownoisseur(527)
🇺🇸Buchanan, United States
4.3November 24, 2019
2016 vintage, poured into a snifter. Jet black, opaque, nice 2 fingers of foamy head that breaks into a ring of lace. Aromas of black molasses, mild oak, mild chocolate. Taste is…
Show more
BOTTLE
Aroma
8
Appearance
4
Flavor
10
Mouthfeel
3
Overall
18",Närke Kaggen Stormaktsporter,Närke Kaggen Stormaktsporter
7,"ShivanDragon(6,884)
🇳🇱Leeuwarden, Netherlands
4.0September 30, 2019
@Bbf’19, Thick black, Creamy head, sweet, roasted, heavy, dry, chocolate, coffee
Aroma
8
Appearance
4
Flavor
8
Mouthfeel
4
Overall
16",Närke Kaggen Stormaktsporter,Närke Kaggen Stormaktsporter
8,"Saeglopur(3,649)
🇦🇹Vienna, Austria
4.3September 15, 2019
250 ml bottle from a trade, vintage 2016.
Black body, with a small, creamy, dark beige head. 
Beautiful aroma of honey, dark chocolate, bourbon,…
Show more
BOTTLE
Aroma
9
Appearance
4
Flavor
8
Mouthfeel
5
Overall
17",Närke Kaggen Stormaktsporter,Närke Kaggen Stormaktsporter
9,"Werckmeister(6,149)
🇦🇹Vienna, Austria
3.9September 14, 2019
0,25l bottle at home shared by Saeglopur, big thanks. Brewed 26.10.2016. black color, small dark coffee colored head. smells of bitter chocolate, light blue cheese notes, dried…
Show more
BOTTLE
Aroma
7
Appearance
4
Flavor
8
Mouthfeel
4
Overall
16",Närke Kaggen Stormaktsporter,Närke Kaggen Stormaktsporter
10,"LovibondRates30(12)
3.9July 18, 2019
beige head. Biter taste with roasted malts, chocolate, coffee, licorice, bourbon, nuts and dark fruits. Bitter finish with roasted malts, chocolate, licorice, bourbon, nuts, coffee and…
Show more
Aroma
8
Appearance
4
Flavor
8
Mouthfeel
4
Overall
15",Närke Kaggen Stormaktsporter,Närke Kaggen Stormaktsporter
11,"Manslow(2,539)
🇵🇱Warsaw, Poland
4.5July 12, 2019
Piwo od omhper wypite w Warszawie z mtitov i omhper. Ciemny kolor, piana jak to w porterze , średnia. Aromat gorzkiej czekolady dominuje w tle miód. W smaku wspaniał…
Show more
BOTTLE
Aroma
9
Appearance
4
Flavor
9
Mouthfeel
4
Overall
19",Närke Kaggen Stormaktsporter,Närke Kaggen Stormaktsporter
12,"martjoobolut(9,713)
🇪🇪Tallinn, Estonia
4.5May 6, 2019
Bottle, 2016 vintage (huge thanks to jesper for sharing this). Pours black. Aroma and flavor are chocolate, roast, honey, heather, whiskey. Overall: excellent, woth the hype!
BOTTLE
Aroma
9
Appearance
5
Flavor
9
Mouthfeel
5
Overall
17",Närke Kaggen Stormaktsporter,Närke Kaggen Stormaktsporter
13,"Marduk(14,159)
🇪🇪Reval, Estonia
4.4May 3, 2019
Bottle (thanks Jesper). Pitch black color. Small size, brown head, stays. Honey, sweet, roast, chocolate, cocoa, sugary, some alcohol in aroma and in taste. Excellent brew!
Aroma
9
Appearance
4
Flavor
9
Mouthfeel
4
Overall
18",Närke Kaggen Stormaktsporter,Närke Kaggen Stormaktsporter
14,"Rask0lnikov(2,713)
🇪🇪Tallinn, Estonia
4.6May 2, 2019
250ml bottle. Thanks, Jesper. Pours black colour, moderate beige head. Funky cognac, chocolate, honey, cocoa. Delicious and complex! Cognac, honey, chocolate. Full body…
Show more
BOTTLE
Aroma
10
Appearance
4
Flavor
9
Mouthfeel
4
Overall
19",Närke Kaggen Stormaktsporter,Närke Kaggen Stormaktsporter
15,"Juks(4,446)
🇪🇪Tallinn, Estonia
4.5May 2, 2019
250ml bottle, thanks Jesper. Pours dark brown colour, small tan head. Aroma is very rich, prunes, slightly smoky, cherry, chocolatey, cocoa. Taste is roasty, barrel, cognac, smooth,…
Show more
Aroma
9
Appearance
4
Flavor
9
Mouthfeel
5
Overall
18",Närke Kaggen Stormaktsporter,Närke Kaggen Stormaktsporter
16,"Tide(8,038)
🇫🇮Helsinki, Finland
4.0April 18, 2019
Bottle from a friend. Black color, beige head. Bitter taste with roasted malts, chocolate, coffee, licorice, bourbon, nuts and dark fruits. Bitter finish with roasted malts, chocolate,…
Show more
Aroma
8
Appearance
4
Flavor
8
Mouthfeel
4
Overall
16",Närke Kaggen Stormaktsporter,Närke Kaggen Stormaktsporter
17,"manker(91)
🇸🇪Sweden
4.0January 30, 2019
I remember the older batches as the most magical beer I had ever tried. Thick, sweet with wonderful aromas and flavors of the heather honey and bourbon with end notes of chocolate…
Show more
Aroma
8
Appearance
3
Flavor
8
Mouthfeel
4
Overall
17",Närke Kaggen Stormaktsporter,Närke Kaggen Stormaktsporter
18,"BrewTrub25(3)
3.8January 21, 2019
kawa, na samym końcu miód wrzosowy.faktura bez żadnego szału, w kierunku niskiej, na starcie bardzo słodka, przeszkadzająca i nieprzyjemna melasa, ciemne owoce,…
Show more
Aroma
7
Appearance
4
Flavor
8
Mouthfeel
3
Overall
16",Närke Kaggen Stormaktsporter,Närke Kaggen Stormaktsporter
19,"Iphonephan(9,588)
🇺🇸Jackson Hole/McLean, United States
4.6January 19, 2019
Enjoyed a bottle of this incredible beer in Copenhagen on April 12, 2011, before I started rating on RB.  The label was 2006.  The beer poured black with a relatively thin tan head.…
Show more
BOTTLE
Aroma
9
Appearance
4
Flavor
10
Mouthfeel
5
Overall
18
1",Närke Kaggen Stormaktsporter,Närke Kaggen Stormaktsporter
20,"KegReports23(3)
4.2January 7, 2019
Ciemne owoce, słody palone, karmel, do tego dębina, sporo czekolady, kawa, na samym końcu miód wrzosowy. na starcie bardzo słodka, przeszkadzająca i nieprzyjemna…
Show more
Aroma
8
Appearance
4
Flavor
9
Mouthfeel
4
Overall
17",Närke Kaggen Stormaktsporter,Närke Kaggen Stormaktsporter
21,"m.kropek(3)
4.3December 27, 2018
Aromat typowo porterowy - śliwki, ciemne owoce, słody palone, karmel, do tego dębina, sporo czekolady. Aromat bardzo rozbudowany i mocno zmieszany zawiera w sobie…
Show more
Aroma
8
Appearance
5
Flavor
8
Mouthfeel
5
Overall
17",Närke Kaggen Stormaktsporter,Närke Kaggen Stormaktsporter
