,beer_info,search_name,beer_name
0,"truckergirl(12)
🇺🇸Zimmerman, United States
3.1February 28, 2021
I can taste the real lime peel flavor. Highly carbonated and foamy. Gold color. Cheap and easy to find. My go-to affordable beer
BOTTLE
@ Total Wine & More - Maple Grove
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
11",Bud Light Lime,Bud Light Lime
1,"hershiser2(6,903)
🇺🇸Charlottesville, United States
1.5November 19, 2020
Kroger, Rio Hill. Can. Clear gold, small soft white head. Lime, cigarette ash (it's not me), corn nose. Corn, lime zest, corn syrup. Dumping this.
CAN
@ Kroger - Charlottesville (Rio Hill)
Aroma
5
Appearance
3
Flavor
2
Mouthfeel
2
Overall
3",Bud Light Lime,Bud Light Lime
2,"Sledutah(9,598)
🇺🇸United States
2.3September 28, 2020
12oz bottle picked up at Harmon's.
Pours clear light golden, small white head that disappeared quickly, no lacing. Mild lime, sweet and corn.…
Show more
CAN
@ Harmons Station Park
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
2
Overall
9",Bud Light Lime,Bud Light Lime
3,"jpuch(11)
2.7September 17, 2020
Doesn’t really taste like beer, kinda like a spiked sprite to me. Nice taste though, quite thirst quenching. Just a lower score cause it’s not really a beer
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Bud Light Lime,Bud Light Lime
4,"brunopbraga(101)
🇧🇷Fortaleza, Brazil
2.1September 11, 2020
APARÊNCIA
amarelo dourado, translúcido.
creme branco de baixa formação e…
Show more
CAN
Aroma
3
Appearance
2
Flavor
4
Mouthfeel
2
Overall
10",Bud Light Lime,Bud Light Lime
5,"commonshawn(1,925)
🇺🇸United States
1.7August 22, 2020
Can during minneapalooza. Gold with medium white head. Heavy fake lime nose. Thin, weak, some lime, grainy. Right for the occasion...probably the only occasion.
Aroma
4
Appearance
2
Flavor
2
Mouthfeel
1
Overall
8",Bud Light Lime,Bud Light Lime
6,"GregMooreNH(4,966)
🇺🇸Bedford, United States
1.0July 11, 2020
Given one of these as a last resort beer at a BBQ - figured what the heck.  Pours clear golden with a full, white head.  Aroma is corn syrup and artificial lime. Taste is corn syrup,…
Show more
Aroma
2
Appearance
2
Flavor
3
Mouthfeel
1
Overall
2",Bud Light Lime,Bud Light Lime
7,"foyle(631)
🇺🇸United States
2.5July 6, 2020
Served from 25 oz can in pint glass. Pours a 1"" white head that falls quickly with a hint of lacing. Color is pale straw, abundant carbonation. Aroma is lime and lime zest, some…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
10",Bud Light Lime,Bud Light Lime
8,"MeadKeep48(5)
0.8March 13, 2020
Low quality, strange flavor, and taste flat. A lot of people where I live drink it when playing beer pong.
BOTTLE
Aroma
1
Appearance
1
Flavor
1
Mouthfeel
1
Overall
4",Bud Light Lime,Bud Light Lime
9,"LagerTicks58(4)
4.0November 19, 2019
Ok y'all hear me out.  Bud light is gross, Im not going to sit here and defend it. Its watery and overall just gets doesn't get you drunk quick enough. But bud light lime is on a whole…
Show more
Aroma
8
Appearance
4
Flavor
9
Mouthfeel
3
Overall
16",Bud Light Lime,Bud Light Lime
