,Aroma,Appearance,Flavor,Mouthfeel,Overall,beer_name,Cluster
0,0.22231174721496327,0.3198269974960166,0.2312751420250862,0.23359434122534728,0.25124210592013274,San Miguel,1
1,0.4753632810340056,0.6212648824329255,0.5409863218786226,0.4926658701389872,0.5667831822492663,Newcastle Brown Ale (Non-US Version),0
2,0.38403515388023646,0.5659186535764377,0.42255362689943504,0.3853244837758112,0.43882067067632424,Rickard's Red,0
3,0.8424776023852426,0.7763975155279502,0.7202829785388496,0.8575642646439107,0.7696509538994241,Paradox Beer Candid Kaiser - American Style Pale Ale,2
4,0.22224352665139546,0.24850418827283627,0.26694434120843274,0.22773402614272942,0.27877798665557674,Maclay's Traditional Pale Ale,1
5,0.2817485289655489,0.3711601738125737,0.3292852759128067,0.3236402304668128,0.343798297988941,Carlsberg Pilsner,1
6,0.7580063787971959,0.8406789755807026,0.7858168229217422,0.7661113805040342,0.8139592036335188,Weihenstephaner Hefeweissbier,2
7,0.32733925712038825,0.3541171536418285,0.37301743695664086,0.35317607109998195,0.3998614884516015,Mill Street Original Organic Lager,1
8,0.2980830643344391,0.3732831773248185,0.3134853574537118,0.30130636325326576,0.3295725449216834,Tatra Jasne Pelne / Pils / Beer,1
9,0.5136969859476044,0.5330249768732657,0.5607663164231724,0.5088181761124708,0.5792698273939076,Muskoka Cream Ale,0
10,0.48959648921923016,0.5400625678350252,0.5342628863407695,0.5305619447368307,0.5601006102155076,Samuel Smiths Organic Lager,0
11,0.14479427674035772,0.16704805491990848,0.19031967299258373,0.13377839879935827,0.21234405123911615,Cool Beer Blonde Lager,1
12,0.3015346859861683,0.4177693761814746,0.2562072630747588,0.24971142747210484,0.28182688707324033,Berthold Keller Premium Lager,1
13,0.5608128769177504,0.6525400457665903,0.6400356100444349,0.583046110852352,0.6567132636914411,Creemore Springs Premium Lager,0
14,0.5451867169973036,0.6732405321752094,0.5803686812336339,0.564732385818279,0.605564883490134,Erdinger Weissbier,0
15,0.4151012613156957,0.4966751918158566,0.4853755769830664,0.4683324657296546,0.5135645143800784,Harp Lager,0
16,0.5450959743636775,0.5989249011857708,0.5844430095204238,0.5641297935103243,0.6061456309920188,Paulaner Oktoberfest Bier (Wiesn Bier),0
17,0.6946044213281456,0.6657720522454821,0.6853093005119821,0.6202580817461186,0.7110694063682655,Great Lakes Brewery Canuck Pale Ale,0
18,0.3985781490997732,0.4600168558822072,0.442855285417959,0.4290067708701223,0.46076640063944974,DAB Original,0
19,0.5594565478958319,0.6622789522669855,0.6334661873966854,0.6149620183069887,0.6600841881490581,Pilsner Urquell,0
20,0.5927165880609945,0.9737338153950744,0.6403770136705702,0.6476991360097949,0.6886736106636193,Guinness Draught,2
21,0.24094559220738399,0.3350383631713556,0.2401638377285426,0.29585285441610265,0.22927819163939034,Tsingtao Beer Quality Series (Taiwan),1
22,0.3404441945159876,0.47092276646486886,0.41000127602315556,0.40813760999713733,0.4308036229243464,Stella Artois,0
23,0.017770564418647716,0.07834329280857211,0.03463083963080932,0.05838657514201695,0.03448255281081669,Bud Light,1
24,0.24067693570434268,0.3575813640568499,0.29871572595875534,0.30149689324044426,0.3109071754137658,Heineken,1
25,0.0,0.028218481288603603,0.0,0.029375272183466028,0.001599816930539233,Michelob Ultra,1
26,0.43088512149823843,0.5385980479148181,0.4167614156628197,0.3907049545481909,0.4426408284906219,Waterloo IPA,0
27,0.6436378545764504,0.7565217391304347,0.6403456164348655,0.6814159292035397,0.5312269412381267,Goose Island IPA Now,0
28,0.2936314546405975,0.365015166835187,0.3311142419799797,0.3286760726563154,0.3387554514609342,Alexander Keith's India Pale Ale,1
29,0.5189835470283812,0.6448722203783605,0.5334466571085856,0.49725280911526937,0.5574701770277993,Kozel CernÃ½ (Dark),0
30,0.24148431449744823,0.2892729111131538,0.25717640705293304,0.26205666460863,0.2613580006540207,Chang Beer,1
31,0.5525029701640872,0.545609548167093,0.5474222139959635,0.5058129446468852,0.5673549166284128,Kona Big Wave Golden Ale,0
32,0.31264995139162866,0.3788819875776398,0.36169287439428005,0.34121182139650785,0.3717549308209004,Beck's,1
33,0.08700119954176772,0.17326500702870307,0.11715669573857751,0.12593184832847337,0.11286494980223327,Budweiser,1
34,0.4399411773245123,0.4674476233385897,0.37651090316938435,0.3527850377774723,0.3899601687256118, Hoegaarden RosÃ©e,0
35,0.6192901303549657,0.6024844720496892,0.6151022389283443,0.6026127265065316,0.6394193503449339,MacKinnon Brothers Red Fox,0
36,0.12374246646909676,0.22729898833450124,0.18334080422298665,0.19104819426826214,0.19231661866210292,Corona Extra,1
37,0.7154390149235378,0.7278880348743831,0.7384884047089002,0.6836419392750678,0.7356062400008685,Maisel & Friends Marc's Chocolate Bock,2
38,0.44312871888103045,0.5507645626222702,0.4723500505497152,0.4658681207353773,0.4892809028198345,Krombacher Pils,0
39,0.6745885502510642,0.6491580799195779,0.6690301672719965,0.5917608743840262,0.6881765803106432,BrewDog / Weihenstephan India Pale Weizen,0
40,0.6500092216624465,0.6342950020316943,0.6015368725112884,0.5261489261985498,0.6477519259857316,Flying Monkeys 12 Minutes to Destiny,0
41,0.4486851995819654,0.5265903890160183,0.5163430602624801,0.48535941623971424,0.5301935244649817,Steam Whistle Pilsner,0
42,0.257266084646663,0.3264401772525847,0.29707421236600345,0.2974035197796977,0.3111990119240562,Peroni,1
43,0.26173011636396537,0.3369059656218403,0.2946434320359648,0.2865644508472249,0.3052378334779402,Tiger Beer,1
